SNO.,Quantity,Part Name,Link
0,2,33pF Capacitor SMD (0402),https://www.lcsc.com/product-detail/C5137486.html
1,1,100nF Capacitor SMD (0402),https://www.lcsc.com/product-detail/C1525.html
2,7,1uF Capacitor SMD (0402),https://www.lcsc.com/product-detail/C52923.html
3,2,4.7uF Capacitor SMD (0402),https://www.lcsc.com/product-detail/C23733.html
4,2,WS2812B-2020 Addressable RGB LED,https://www.lcsc.com/product-detail/C5349955.html
5,1,12V 1A Resettable Fuse SMD (0805),https://www.lcsc.com/product-detail/C46640991.html
6,1,USB-C Receptacle USB 2.0 16-Pin,https://www.lcsc.com/product-detail/C393939.html
7,5,5.1kΩ Resistor SMD (0402),https://www.lcsc.com/product-detail/C25905.html
8,3,10kΩ Resistor SMD (0402),https://www.lcsc.com/product-detail/C25744.html
9,1,TS-1088-AR02016 Tactile Switch,https://www.lcsc.com/product-detail/C720477.html
10,1,ESP32-S2FH4,https://www.lcsc.com/product-detail/C2840995.html
11,1,XC6206P332MR-G 3.3V LDO Voltage Regulator (SOT-23-3),https://www.lcsc.com/product-detail/C5446.html
12,1,25MHz 20pF Crystal SMD (2016),https://www.lcsc.com/product-detail/C252274.html
